,qnum,name,coordinates,birth location,birth country,img
196,Q189892,Gheorghe Hagi,"(44.483333333, 28.65)",Săcele,Romania,http://commons.wikimedia.org/wiki/Special:FilePath/Lansarea%20candidaturii%20Gabrielei%20Szabo%20pentru%20Camera%20Deputatilor%2C%20Voluntari%20-%2004.05%20%2848%29%20%2814270956179%29%20%28cropped%29.jpg
197,Q138172,Radamel Falcao,"(11.236111111, -74.201666666)",Santa Marta,Colombia,http://commons.wikimedia.org/wiki/Special:FilePath/397806%20sPICT.jpg
198,Q348857,Gary Neville,"(53.59315, -2.298552777)",Bury,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Gary%20Neville%20crop.jpg
199,Q22951255,Marcus Rashford,"(53.466666666, -2.233333333)",Manchester,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Press%20Tren%20CSKA%20-%20MU%20%283%29.jpg
200,Q185225,Santiago Cazorla,"(43.442279, -5.818441)",Lugo de Llanera,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Santi%20Cazorla%2C%202012-08-18.jpg
201,Q182451,Alberto Gilardino,"(45.566388888, 8.053333333)",Biella,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Gilardino.jpg
202,Q208050,Leonardo Bonucci,"(42.418611111, 12.104166666)",Viterbo,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Leonardo%20Bonucci.jpg
203,Q188241,Ricardo Quaresma,"(38.7452, -9.1604)",Lisbon,Portugal,http://commons.wikimedia.org/wiki/Special:FilePath/Ricardo%20Quaresma%202017.jpg
204,Q169098,Frank Rijkaard,"(52.383333333, 4.9)",Amsterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Ajax%20selectie%20seizoen%201981%201982%20nr.%20140a%20E.%20Ophof%20speler%2C%20nr.%2015a%20F.%20Rijka%2C%20Bestanddeelnr%20253-8568.jpg
208,Q294214,Dirk Kuyt,"(52.2008, 4.4153)",Katwijk,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Dirk%20Kuyt%202012.jpg
209,Q1920,Samir Nasri,"(43.296666666, 5.376388888)",Marseille,France,http://commons.wikimedia.org/wiki/Special:FilePath/Samir%20Nasri%20Euro%202012%20v2.jpg
210,Q1935,Eric Abidal,"(45.695277777, 4.793055555)",Saint-Genis-Laval,France,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89ric%20Abidal%20-%20001.jpg
211,Q694014,Shkodran Mustafi,"(50.868333333, 9.706666666)",Bad Hersfeld,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/1%20Shkodran%20Mustafi%202018%20%28cropped%29.jpg
212,Q57148,Cacau,"(-23.550394444, -46.633947222)",São Paulo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Werkstattreihe%20gemeinsam%20f%C3%BCr%20ein%20starkes%20Deutschland%2C%20K%C3%B6ln-3523.jpg
213,Q315697,Julian Draxler,"(51.57134, 6.98267)",Gladbeck,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/2019-07-17%20SG%20Dynamo%20Dresden%20vs.%20Paris%20Saint-Germain%20by%20Sandro%20Halank%E2%80%93107.jpg
214,Q161054,Ivan Perišić,"(43.51, 16.45)",Split,Croatia,http://commons.wikimedia.org/wiki/Special:FilePath/Ivan%20Peri%C5%A1i%C4%87%20%28cropped%29.jpg
215,Q181921,Branislav Ivanović,"(44.983333333, 19.616666666)",Sremska Mitrovica,Serbia,http://commons.wikimedia.org/wiki/Special:FilePath/Branislav%20Ivanovi%C4%87%202018.jpg
216,Q187238,Tim Cahill,"(-33.866666666, 151.2)",Sydney,Australia,http://commons.wikimedia.org/wiki/Special:FilePath/Tim%20Cahill-31.03.09.jpg
217,Q215463,Sergio Romero,"(-26.2553165, -53.6468868)","Bernardo de Irigoyen, Misiones",Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Argentine%20-%20Portugal%20-%20Sergio%20Romero.jpg
218,Q174486,Antonio Valencia,"(0.084444444, -76.891111111)",Nueva Loja,Ecuador,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Valencia%20cropped.jpg
219,Q209942,Sadio Mané,"(12.60306, -15.66056)",Bambali,Senegal,http://commons.wikimedia.org/wiki/Special:FilePath/Sadio%20Man%C3%A9.jpg
220,Q48770,Álvaro Morata,"(40.418888888, -3.691944444)",Madrid,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%81lvaro%20Morata.jpg
221,Q80892,Francisco Román Alarcón Suárez,"(36.5968975, -4.553502311)",Benalmádena,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Liver-RM%20%285%29%20%28cropped%29.jpg
222,Q127452,Dani Carvajal,"(40.32825, -3.765402777)",Leganés,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Carvajal.jpg
223,Q201381,Vincent Kompany,"(50.803611111, 4.333888888)",Uccle,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20Kompany%20-%20Parade%202014.jpg
224,Q275169,Marouane Fellaini,"(50.836111111, 4.386111111)",Etterbeek,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Fellaini%202017-03-09.jpg
225,Q126503,Filippo Inzaghi,"(45.05, 9.7)",Piacenza,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Filippo%20Inzaghi%202011.jpg
226,Q16665941,N'Golo Kanté,"(48.856944444, 2.351388888)",Paris,France,http://commons.wikimedia.org/wiki/Special:FilePath/N%27Golo%20Kant%C3%A9%20%28cropped%29.jpg
227,Q602525,Roberto Firmino,"(-9.665833333, -35.735)",Maceió,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Firmino%202018.jpg
229,Q73480,Willian,"(-23.710833333, -46.412777777)",Ribeirão Pires,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Bra-Cos%20%2821%29%20%28cropped%202%29.jpg
230,Q153786,Edin Džeko,"(43.866666666, 18.416666666)",Sarajevo,Bosnia and Herzegovina,http://commons.wikimedia.org/wiki/Special:FilePath/20150331%202026%20AUT%20BIH%202177%20Edin%20D%C5%BEeko%20%28cropped%29.jpg
231,Q166984,Mikel John Obi,"(9.933333333, 8.883333333)",Jos,Nigeria,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Obi%20Mikel%202018.jpg
232,Q18976,Ole Gunnar Solskjær,"(63.11152, 7.73198)",Kristiansund Municipality,Norway,http://commons.wikimedia.org/wiki/Special:FilePath/Ole%20Gunnar%20Solskjaer%20Manchester%20United.jpg
233,Q187184,Joe Hart,"(52.708055555, -2.754444444)",Shrewsbury,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Joe%20Hart%2069775.jpg
235,Q188457,Danny Welbeck,"(53.466666666, -2.233333333)",Manchester,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Danny%20Welbeck%202018-06-13%201.jpg
236,Q207457,Bill Shankly,"(55.5333, -3.98333)",Glenbuck,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Bill%20Shankly%20statue%2C%20Anfield%202018.jpg
237,Q294951,Christian Eriksen,"(55.5, 9.75)",Middelfart,Denmark,http://commons.wikimedia.org/wiki/Special:FilePath/EriksenTottenham2016%28cropped%29%202.jpg
238,Q188997,Wojciech Szczęsny,"(52.216666666, 21.033333333)",Warsaw,Poland,http://commons.wikimedia.org/wiki/Special:FilePath/Wojciech%20Szcz%C4%99sny%20%28edited%29.jpg
239,Q186330,Rafael Márquez,"(19.983333333, -102.283333333)",Zamora,Mexico,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20M%C3%A1rquez%202014.jpg
240,Q969520,Michael Essien,"(5.6037, -0.187)",Accra,Ghana,http://commons.wikimedia.org/wiki/Special:FilePath/Essien%20Real%20Madrid.JPG
241,Q182459,Júlio César,"(-22.785833333, -43.311944444)",Duque de Caxias,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%BAlio%20C%C3%A9sar%20FC%20Internazionale.jpg
242,Q193000,Bruno Alves,"(41.39158, -8.75713)",Póvoa de Varzim,Portugal,http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Alves%202018.jpg
243,Q18237361,Alisson,"(-29.677777777, -51.130833333)",Novo Hamburgo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Final%20da%20Copa%20Am%C3%A9rica%202019%20-%20Alisson.jpg
244,Q57114,Jens Lehmann,"(51.450833333, 7.013055555)",Essen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Jens%20Lehmann%20%28Berlin%20Film%20Festival%202011%29.jpg
262,Q186691,Oleh Blokhin,"(50.45, 30.523611111)",Kyiv,Ukraine,http://commons.wikimedia.org/wiki/Special:FilePath/Oleg%20Blokhin%202011.jpg
263,Q170235,Dimitar Berbatov,"(42.021944444, 23.0975)",Blagoevgrad,Bulgaria,http://commons.wikimedia.org/wiki/Special:FilePath/Mitko%20Berbatov.jpg
264,Q189217,Davor Šuker,"(45.560277777, 18.670277777)",Osijek,Croatia,http://commons.wikimedia.org/wiki/Special:FilePath/Davor%20%C5%A0uker%20300x450px.jpg
265,Q313161,Claudio Bravo,"(-39.366666666, -72.633333333)",Loncoche,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Chile%20VS.%20Australia%20%281cropped%29.jpg
267,Q180649,Mario Kempes,"(-32.633333333, -62.683333333)",Bell Ville,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Kempes%20en%20Valencia.JPG
268,Q258115,Diego Simeone,"(-34.599722222, -58.381944444)",Buenos Aires,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20Simeone%20-%2001.jpg
269,Q558887,Hiroki Sakai,"(35.854444444, 139.968888888)",Kashiwa,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Hiroki%20Sakai.jpg
270,Q15199,Jack Wilshere,"(51.901666666, -0.201944444)",Stevenage,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Hertha%20BSC%20vs.%20West%20Ham%20United%2020190731%20%28167%29.jpg
271,Q29491,Chris Smalling,"(51.48, 0.0)",Greenwich,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/CSKA-MU%202017%20%2815%29.jpg
272,Q187891,Fernando Llorente,"(42.816666666, -1.65)",Pamplona,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Sev%20tren%202016%20%288%29.jpg
273,Q294806,César Azpilicueta,"(42.786666666, -1.690833333)",Zizur Mayor,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/DK-Chel15%20%2815%29.jpg
275,Q151025,Jakub Błaszczykowski,"(50.86692, 18.82705)","Truskolasy, Silesian Voivodeship",Poland,http://commons.wikimedia.org/wiki/Special:FilePath/Jakub%20B%C5%82aszczykowski%202019.jpg
277,Q168497,Daniele De Rossi,"(41.893055555, 12.482777777)",Rome,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Daniele%20De%20Rossi%20BGR-ITA%202012.jpg
278,Q484909,Clarence Seedorf,"(5.866666666, -55.166666666)",Paramaribo,Suriname,http://commons.wikimedia.org/wiki/Special:FilePath/Seedorf%204%20wikicommons.jpg
279,Q133903,Virgil van Dijk,"(51.583333333, 4.783333333)",Breda,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/20160604%20AUT%20NED%208876%20%28cropped%29.jpg
280,Q192635,Ronald Koeman,"(52.441666666, 4.842222222)",Zaandam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Ronald%20Koeman%20%282014%29%20%28cropped%29.jpg
281,Q44977,Pierre-Emerick Aubameyang,"(48.072777777, -0.77)",Laval,France,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Emerick%20Aubameyang%20%2803-08-2011%29.jpg
282,Q191139,Fabien Barthez,"(42.932777777, 1.848611111)",Lavelanet,France,http://commons.wikimedia.org/wiki/Special:FilePath/Fabien%20Barthez%20at%20OM.jpg
283,Q376247,Dimitri Payet,"(-21.341944444, 55.477777777)",Saint-Pierre,France,http://commons.wikimedia.org/wiki/Special:FilePath/Payet%20April%202016.jpeg
284,Q220283,Rivelino,"(-23.550394444, -46.633947222)",São Paulo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Roberto%20Rivelino%201974.jpg
285,Q310598,Marcus Tulio Tanaka,"(-20.415833333, -50.761944444)",Palmeira d'Oeste,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Tulio%2020080622.jpg
286,Q312772,Fred,"(-17.857777777, -41.505)",Teófilo Otoni,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Fred%20final%20copa%20confederacoes%202013.jpg
287,Q19497,Oscar,"(-22.738888888, -47.330833333)",Americana,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/20141118%20AUTBRA%205023.jpg
288,Q46741,Leonardo Araújo,"(-22.883333333, -43.103611111)",Niterói,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20Nascimento%20de%20Araujo%202011.jpg
289,Q178683,Cafu,"(-23.550394444, -46.633947222)",São Paulo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Exposi%C3%A7%C3%A3o%20Brasil%2C%20um%20pa%C3%ADs%2C%20um%20mundo%20-%20Cafu.jpg
291,Q246417,Denis Cheryshev,"(56.326944444, 44.0075)",Nizhny Novgorod,Russia,http://commons.wikimedia.org/wiki/Special:FilePath/Denis%20Cheryshev%20%2810.10.2019%29%20%28cropped%29.jpg
292,Q160472,Marc-André ter Stegen,"(51.2, 6.433333333)",Mönchengladbach,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Real%20Valladolid%20-%20FC%20Barcelona%2C%202018-08-25%20%2879%29%20%28cropped%29.jpg
293,Q171295,Pavel Nedvěd,"(50.079759165, 12.373995588)",Cheb,Czech Republic,http://commons.wikimedia.org/wiki/Special:FilePath/Pavel%20Nedv%C4%9Bd.jpg
294,Q386876,Emmanuel Adebayor,"(6.131944444, 1.222777777)",Lomé,Togo,http://commons.wikimedia.org/wiki/Special:FilePath/Adebayor.jpg
295,Q439722,Son Heung-min,"(37.874722222, 127.734166666)",Chuncheon,South Korea,http://commons.wikimedia.org/wiki/Special:FilePath/Team%20Korea%20Russia%20WorldCup%2002%20%28cropped%29.png
296,Q152832,Kevin Keegan,"(53.535177777, -1.052236111)",Armthorpe,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20Keegan%202.jpg
297,Q187989,Leighton Baines,"(53.4826, -2.892)",Kirkby,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Baines%20Leighton%20126176%20%28cropped%29.jpg
298,Q206641,Phil Jones,"(53.759444444, -2.698055555)",Preston,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Phil%20Jones%202017.jpg
299,Q12984,Stephan El Shaarawy,"(44.307975, 8.481016666)",Savona,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Stephan%20El%20Shaarawy%20%28cropped%29.jpg
300,Q180661,Dino Zoff,"(45.916666666, 13.466666666)",Mariano del Friuli,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Dino%20Zoff%20-%201972%20-%20Juventus%20FC%20%28cropped%29.jpg
301,Q295307,Salvatore Schillaci,"(38.115658, 13.361262)",Palermo,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Salvatore%20Schillaci.jpg
302,Q484534,Guus Hiddink,"(51.943333333, 6.459444444)",Varsseveld,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Guus%20Hiddink%202012.jpg
303,Q47950,Carlos Vela,"(21.160555555, -86.8475)",Cancun,Mexico,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Vela%20-%20Real%20Sociedad%202016-17.jpg
305,Q1913,Florent Malouda,"(4.938611111, -52.335)",Cayenne,France,http://commons.wikimedia.org/wiki/Special:FilePath/Malouda2012.JPG
306,Q1921,Blaise Matuidi,"(43.604444444, 1.443888888)",Toulouse,France,http://commons.wikimedia.org/wiki/Special:FilePath/Matuidi%20PSG.jpg
307,Q177686,Maicon,"(-29.677777777, -51.130833333)",Novo Hamburgo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Maicon%20Douglas%20Sisenando%20-%20Inter%20Mailand%20%281%29.jpg
308,Q102331,Sócrates,"(-1.455833333, -48.503888888)",Belém,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Socrates87660.jpg
309,Q152871,Karl-Heinz Rummenigge,"(51.666666666, 8.35)",Lippstadt,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/2015-02-06%20Rummenigge%200400.JPG
310,Q558820,Gotoku Sakai,"(40.67, -73.94)",New York City,United States of America,http://commons.wikimedia.org/wiki/Special:FilePath/Gotoku%20Sakai%202018.jpg
311,Q13865408,Joshua Kimmich,"(48.168055555, 8.624722222)",Rottweil,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/20180602%20FIFA%20Friendly%20Match%20Austria%20vs.%20Germany%20Joshua%20Kimmich%20850%200717.jpg
312,Q187426,Fernando Gago,"(-34.633333333, -58.533333333)",Ciudadela,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20Gago%20%28Roda%20de%20premsa%29.jpg
313,Q311191,Junichi Inamoto,"(31.4, 130.516666666)",Kagoshima Prefecture,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Junichi%20Inamoto.jpg
314,Q6147586,Jamie Vardy,"(53.3825, -1.471944444)",Sheffield,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Jamie%20Vardy%202018.jpg
315,Q222231,Daniel Sturridge,"(52.48, -1.9025)",Birmingham,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/LFC%20Parade%202019%2001%20Daniel%20Sturridge.jpg
316,Q188632,Roy Keane,"(51.9, -8.473055555)",Cork,Ireland,http://commons.wikimedia.org/wiki/Special:FilePath/Roy%20keane%202014.jpg
317,Q179773,Pedro,"(28.466666666, -16.25)",Santa Cruz de Tenerife,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Chelsea%201%20Southampton%203%20%2821753895798%29.jpg
318,Q503137,Nacho,"(40.481815, -3.364305)",Alcalá de Henares,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Nacho%20Fern%C3%A1ndez.jpg
319,Q116980,Gennaro Gattuso,"(39.6, 16.516666666)",Corigliano Calabro,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Lausanne%20vs%20Sion%2027%20february%202013%20-%20Gennaro%20Gattuso.jpg
320,Q167281,Antonio Di Natale,"(40.833333333, 14.25)",Naples,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20di%20natale.JPG
321,Q179995,Claudio Marchisio,"(45.066666666, 7.7)",Turin,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Claudio%20Marchisio%2C%202019.jpg
322,Q185081,Marco Materazzi,"(40.352011111, 18.169138888)",Lecce,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Marco%20Materazzi%20-%20Inter%20Mailand%20%281%29.jpg
323,Q175296,Raul Meireles,"(41.149472222, -8.610777777)",Porto,Portugal,http://commons.wikimedia.org/wiki/Special:FilePath/Shaktar%20-%20Fenerbah%C3%A7e%2005%20August%202015%20CL%20Q3%205.jpg
324,Q294980,Rui Patrício,"(39.765277777, -8.807777777)",Marrazes,Portugal,http://commons.wikimedia.org/wiki/Special:FilePath/Rui%20Patr%C3%ADcio%202018.jpg
325,Q193625,Marcel Desailly,"(5.6037, -0.187)",Accra,Ghana,http://commons.wikimedia.org/wiki/Special:FilePath/MarcelDesailly.JPG
326,Q151034,Kevin-Prince Boateng,"(52.53333333, 13.16666667)",West Berlin,Allied-occupied Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Boateng.jpg
327,Q2091463,Anthony Martial,"(48.730555555, 2.276388888)",Massy,France,http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20Martial%2027%20September%202017%20cropped.jpg
328,Q459356,Fernandinho,"(-23.31, -51.162777777)",Londrina,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Fernandinho%202018.jpg
329,Q349125,Dejan Lovren,"(44.201666666, 17.903888888)",Zenica,Bosnia and Herzegovina,http://commons.wikimedia.org/wiki/Special:FilePath/Dejan%20Lovren%202018.jpg
331,Q136986,Mauro el Gorreador Icardi,"(-32.9575, -60.639444444)",Rosario,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Zen-Int%20%283.1%29.jpg
332,Q172211,Jamie Carragher,"(53.45, -2.994166666)",Bootle,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Jamie%20Carragher%20meets%20the%20fans.jpg
333,Q191136,James Milner,"(53.799722222, -1.549166666)",Leeds,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Milner.jpg
334,Q187198,Kenny Dalglish,"(55.86, -4.25)",Glasgow,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Kenny%20Dalglish%202009%20Singapore.jpg
335,Q17493,Thiago Alcântara,"(40.483333333, 18.05)",San Pietro Vernotico,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Thiago%202010.jpg
337,Q179172,Bojan Krkić,"(41.631666666, 0.896111111)",Mollerussa,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20of%20Bojan%20Krkic.jpg
339,Q107051,Andrea Barzagli,"(43.8, 11.3)",Fiesole,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20Barzagli%20%28Juventus%29.jpg
340,Q191885,Thiago Motta,"(-23.693888888, -46.565)",São Bernardo do Campo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Thiago%20Motta%2C%20PSG.JPG
341,Q189686,Patrick Kluivert,"(52.383333333, 4.9)",Amsterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Kluivert7Sep2006%20%28cropped%29.jpg
343,Q44073,Bixente Lizarazu,"(43.390277777, -1.659722222)",Saint-Jean-de-Luz,France,http://commons.wikimedia.org/wiki/Special:FilePath/Bixente%20Lizarazu%20%28cropped%29.jpg
344,Q1937,William Gallas,"(48.911111111, 2.285555555)",Asnières-sur-Seine,France,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Gallas%202018%20%282%29.jpg
346,Q616664,Casemiro,"(-23.178888888, -45.886944444)",São José dos Campos,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Casemiro.jpg
347,Q204089,Carlos Valderrama,"(11.236111111, -74.201666666)",Santa Marta,Colombia,http://commons.wikimedia.org/wiki/Special:FilePath/Valderrama2010.JPG
348,Q223827,Gary Cahill,"(53.3024, -1.4664)",Dronfield,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Gary%20Cahill%202018%202%20%28cropped%29%20%28cropped%29.jpg
349,Q185572,Mikel Arteta,"(43.32, -1.98)",Donostia-San Sebastián,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Arteta%20%28cropped%29.jpg
350,Q128840,Toby Alderweireld,"(51.166666666, 4.383333333)",Wilrijk,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/2020-03-10%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20UEFA%20Champions%20League%20Achtelfinale%2C%20RB%20Leipzig%20-%20Tottenham%20Hotspur%201DX%203693%20by%20Stepro.jpg
351,Q4254043,Divock Origi,"(51.233333333, 2.933333333)",Ostend,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Divock%20Origi%20%2825273591916%29%20%28cropped%29.jpg
352,Q295797,Kasper Schmeichel,"(55.676111111, 12.568888888)",Copenhagen,Denmark,http://commons.wikimedia.org/wiki/Special:FilePath/20140904%20-%20Kasper%20Schmeichel.jpg
353,Q26580,Antonio Conte,"(40.352011111, 18.169138888)",Lecce,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Conte%20-%20Globe%20Soccer%20Awards%202013.jpg
354,Q183108,Fabio Capello,"(45.8, 13.466666666)",San Canzian d'Isonzo,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Fabio%20Capello%202012.jpg
355,Q227892,Alessandro Nesta,"(41.893055555, 12.482777777)",Rome,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Alessandro%20Nesta.jpg
356,Q222151,João Moutinho,"(37.133333333, -8.533333333)",Portimão,Portugal,http://commons.wikimedia.org/wiki/Special:FilePath/Jo%C3%A3o%20Moutinho%202018.jpg
357,Q173360,Giovanni van Bronckhorst,"(51.9225, 4.47917)",Rotterdam,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20van%20Bronckhorst.jpg
359,Q75857,Nuri Şahin,"(51.21977, 7.6273)",Lüdenscheid,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/AUT%20vs.%20TUR%202016-03-29%20%28232%29.jpg
360,Q13494,Jean-Pierre Papin,"(50.725555555, 1.613888888)",Boulogne-sur-Mer,France,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Pierre%20Papin%20in%20Sofia%202016.jpg
361,Q20851003,Ousmane Dembélé,"(49.091666666, 1.485)",Vernon,France,http://commons.wikimedia.org/wiki/Special:FilePath/Ousmane%20Demb%C3%A9l%C3%A9%202018.jpg
362,Q1839,Laurent Blanc,"(44.127222222, 4.080833333)",Alès,France,http://commons.wikimedia.org/wiki/Special:FilePath/Laurent%20blanc%2011%2011%202013%20reves%20de%20Clara.jpg
363,Q342489,Careca,"(-21.793888888, -48.175833333)",Araraquara,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Careca%20%28born%205%20October%201960%29%20%E2%80%94%20Brazil%20NFT%20Striker%20%281982%E2%80%931993%29.jpg
364,Q73082,Paulinho,"(-23.550394444, -46.633947222)",São Paulo,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Paulinho%20850%201696.jpg
365,Q138075,Alexandre Pato,"(-26.228888888, -52.670833333)",Pato Branco,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Pato%20Real%20Madrid-Milan.jpg
366,Q152897,Benedikt Höwedes,"(51.75, 7.183333333)",Haltern am See,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Benedikt%20H%C3%B6wedes%2C%20Germany%20national%20football%20team%20%2804%29.jpg
367,Q44464,Rudi Völler,"(50.132777777, 8.916944444)",Hanau,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Rudi%20V%C3%B6ller%20B%C3%BChne%20%28cropped%29.jpg
368,Q701297,Mateo Kovačić,"(48.3, 14.283333333)",Linz,Austria,http://commons.wikimedia.org/wiki/Special:FilePath/Mateo%20Kova%C4%8Di%C4%87%20%28cropped%29.JPG
369,Q182063,Nicolás Otamendi,"(-34.599722222, -58.381944444)",Buenos Aires,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Nicol%C3%A1s%20Otamendi.jpg
370,Q507890,Marcos Rojo,"(-34.933333333, -57.95)",La Plata,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Marcos%20Rojo%202018.jpg
371,Q165014,Ibrahim Afellay,"(52.088888888, 5.115555555)",Utrecht,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Ibrahim%20Afellay%20Oranje.jpg
372,Q982159,Kosuke Ota,"(35.689722222, 139.692222222)",Tokyo,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Kosuke%20Ota%202011.jpg
373,Q180939,Peter Crouch,"(53.2581, -2.1274)",Macclesfield,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Crouch%20v%20Chelsea%202014.jpg
