,qnum,name,coordinates,birth location,birth country,img
72,Q48892,Didier Drogba,"(5.336388888, -4.026666666)",Abidjan,Ivory Coast,http://commons.wikimedia.org/wiki/Special:FilePath/Didier%20Drogba%209279.JPG
73,Q624,Alessandro Del Piero,"(45.887222222, 12.296944444)",Conegliano,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Alessandro%20Del%20Piero%2C%20New%20York%20NY%202015.jpg
74,Q43926,Andrea Pirlo,"(45.538888888, 10.220280555)",Brescia,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20Pirlo%202017.jpg
75,Q1911,Olivier Giroud,"(45.566388888, 5.920833333)",Chambéry,France,http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Giroud%202018.jpg
76,Q36386,Lothar Matthäus,"(49.596388888, 11.004444444)",Erlangen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/6423%20Lothar%20Matth%C3%A4us.JPG
77,Q167828,Lev Yashin,"(55.755833333, 37.617777777)",Moscow,Russia,http://commons.wikimedia.org/wiki/Special:FilePath/Lev%20Yashin.jpg
78,Q313316,Romelu Lukaku,"(51.221111111, 4.399722222)",Antwerp,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Romelu%20Lukaku%2027%20September%202017%20cropped.jpg
79,Q102027,Fabio Cannavaro,"(40.833333333, 14.25)",Naples,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Fabio%20Cannavaro%20in%20Tehran%27s%20IKA%20Airport%20%28cropped%29.jpg
80,Q160206,Hernán Crespo,"(-34.516666666, -58.5)",Florida,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Hern%C3%A1n%20Crespo.png
81,Q172720,Dani Alves,"(-9.413888888, -40.502777777)",Juazeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/07%2007%202019%20Final%20da%20Copa%20Am%C3%A9rica%202019%20%2848226649586%29%20%28cropped%29.jpg
82,Q44298,Bastian Schweinsteiger,"(47.85, 12.066666666)",Kolbermoor,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Bastian%20Schweinsteiger%20-%20July%202015%20%28cropped%29.jpg
87,Q251683,Fideo Di María,"(-32.9575, -60.639444444)",Rosario,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%81ngel%20Di%20Mar%C3%ADa%202018.jpg
88,Q73360,Thibaut Courtois,"(51.133333333, 5.583333333)",Bree,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Courtois%202018%20%28cropped%29.jpg
89,Q170328,Eric Cantona,"(43.296666666, 5.376388888)",Marseille,France,http://commons.wikimedia.org/wiki/Special:FilePath/Eric%20Cantona%20Cannes%202009.jpg
90,Q180642,Garrincha,"(-22.5844, -43.1697)",Pau Grande,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/MFdSantos-Garrincha.jpg
91,Q17158,Carles Puyol,"(42.2473665, 0.9672725)",La Pobla de Segur,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/Puyol2011.jpg
92,Q483027,Paolo Maldini,"(45.466944444, 9.19)",Milan,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Maldini2008.JPG
93,Q115453,Ivan Rakitić,"(47.553888888, 7.795833333)",Rheinfelden,Switzerland,http://commons.wikimedia.org/wiki/Special:FilePath/2015%20UEFA%20Super%20Cup%2062.jpg
94,Q167790,Edinson Cavani,"(-31.388333333, -57.960555555)",Salto,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Edinson%20Cavani%202018.jpg
95,Q429039,Roberto Carlos,"(-22.215277777, -49.651111111)",Garça,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Roberto%20Carlos%202011.jpg
96,Q38136,Marcelo,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Marcelo%20850%201622.jpg
98,Q58441,Robinho,"(-23.963333333, -46.392222222)",São Vicente,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Robinho061115-2%20%28cropped%29.jpg
99,Q50600,Carlos Tevez,"(-34.599722222, -58.381944444)",Buenos Aires,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Tevez%20with%20Argentina%20at%20the%20Boleyn%20Ground%20in%20November%202014.jpg
100,Q4462,Joachim Löw,"(47.786666666, 7.894166666)",Schönau im Schwarzwald,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/20180602%20FIFA%20Friendly%20Match%20Austria%20vs.%20Germany%20Jogi%20L%C3%B6w%20850%201386%20%28cropped%29.jpg
101,Q83456,John Terry,"(51.54, 0.08)",Barking,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Chelsea%205%20Sunderland%201%20%2834821048206%29%20%28cropped%29.jpg
103,Q49704,Sergio Busquets,"(41.548333333, 2.1075)",Sabadell,Spain,http://commons.wikimedia.org/wiki/Special:FilePath/2015%20UEFA%20Super%20Cup%2061.jpg
105,Q124086,Wesley Sneijder,"(52.088888888, 5.115555555)",Utrecht,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Wesley%20Sneijder%20%2714-15.JPG
107,Q483577,Rivaldo,"(-7.940833333, -34.872777777)",Paulista,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Rivaldo.jpg
108,Q131261,Oliver Kahn,"(49.016666666, 8.4)",Karlsruhe,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/2018-04-23%20ZDF%20Oliver%20Kahn-6947.jpg
110,Q128829,Michael Owen,"(53.2, -2.883333333)",Chester,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Michaelowen%20newcastle07.JPG
112,Q214903,Diego Godín,"(-34.313888888, -57.3525)",Rosario,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Diego%20God%C3%ADn%202018%20%28cropped%29.jpg
114,Q47526,Zico,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Zico6.jpg
115,Q104454,Mario Götze,"(47.987777777, 10.181111111)",Memmingen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Mario%20G%C3%B6tze%2C%20Germany%20national%20football%20team%20%2807%29.jpg
116,Q131234,Toni Kroos,"(54.083333333, 13.383333333)",Greifswald,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/CSKA-RM18%20%287%29%20%28cropped%29.jpg
117,Q128725,Hidetoshi Nakata,"(35.666666666, 138.566666666)",Kōfu,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Hidetoshi%20Nakata%20in%20Okinawa.jpg
118,Q969725,Harry Kane,"(51.584, -0.0211)",Walthamstow,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Kane%20in%20Russia%202.jpg
119,Q485697,Pepe,"(-9.665833333, -35.735)",Maceió,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Russia-Portugal%20CC2017%20%2811%20%28cropped%29.jpg
121,Q311872,Philippe Coutinho,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Philippe%20Coutinho%20850%201692.jpg
122,Q178649,Romário,"(-22.908333333, -43.196388888)",Rio de Janeiro,Brazil,http://commons.wikimedia.org/wiki/Special:FilePath/Plen%C3%A1rio%20do%20Senado%20%2836485594345%29%20%28cropped%29.jpg
123,Q54094,Sami Khedira,"(48.776111111, 9.1775)",Stuttgart,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/20180602%20FIFA%20Friendly%20Match%20Austria%20vs.%20Germany%20Sami%20Khedira%20850%200707.jpg
124,Q192671,Arturo Vidal,"(-33.45, -70.666666666)",Santiago,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Chile%20VS.%20Australia%20%2813%29%202017-6-25%20Arturo%20Vidal.jpg
125,Q161571,Javier Mascherano,"(-32.75, -60.733333333)","San Lorenzo, Santa Fe",Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Javier%20Mascherano%202018.jpg
127,Q180326,Lilian Thuram,"(16.241111111, -61.533055555)",Pointe-à-Pitre,France,http://commons.wikimedia.org/wiki/Special:FilePath/Lilian%20Thuram%20-%20F%C3%A9vrier%202013.jpg
128,Q1907,Hugo Lloris,"(43.701944444, 7.268333333)",Nice,France,http://commons.wikimedia.org/wiki/Special:FilePath/Lloris%202018%20%28cropped%29.jpg
129,Q151260,Jérôme Boateng,"(52.516666666, 13.383333333)",Berlin,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Jerome%20Boateng%20Training%202019-04-10%20FC%20Bayern%20Muenchen-2%20%28cropped%29.jpg
130,Q152377,Marco Reus,"(51.513888888, 7.465277777)",Dortmund,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/2019-06-11%20Marco%20Reus%20%28cropped%29.jpg
131,Q57079,Jürgen Klinsmann,"(48.7025, 9.652777777)",Göppingen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Austria%20vs.%20USA%202013-11-19%20%28066%29.jpg
132,Q45766,Mario Gómez,"(48.155277777, 9.472777777)",Riedlingen,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/Mario%20gomez.jpg
